+-----------------------+------+--------+-------+-----------+
|       series id       | year | period | value | footnotes |
+-----------------------+------+--------+-------+-----------+
| JTU000000480000000JOL | 2021 |  M12   |  818  |           |
| JTU000000480000000JOL | 2021 |  M11   |  868  |           |
| JTU000000480000000JOL | 2021 |  M10   |  965  |           |
| JTU000000480000000JOL | 2021 |  M09   |  867  |           |
| JTU000000480000000JOL | 2021 |  M08   |  970  |           |
| JTU000000480000000JOL | 2021 |  M07   |  1000 |           |
| JTU000000480000000JOL | 2021 |  M06   |  896  |           |
| JTU000000480000000JOL | 2021 |  M05   |  814  |           |
| JTU000000480000000JOL | 2021 |  M04   |  845  |           |
| JTU000000480000000JOL | 2021 |  M03   |  718  |           |
| JTU000000480000000JOL | 2021 |  M02   |  609  |           |
| JTU000000480000000JOL | 2021 |  M01   |  563  |           |
| JTU000000480000000JOL | 2020 |  M12   |  466  |           |
| JTU000000480000000JOL | 2020 |  M11   |  515  |           |
| JTU000000480000000JOL | 2020 |  M10   |  597  |           |
| JTU000000480000000JOL | 2020 |  M09   |  612  |           |
| JTU000000480000000JOL | 2020 |  M08   |  523  |           |
| JTU000000480000000JOL | 2020 |  M07   |  493  |           |
| JTU000000480000000JOL | 2020 |  M06   |  438  |           |
| JTU000000480000000JOL | 2020 |  M05   |  381  |           |
| JTU000000480000000JOL | 2020 |  M04   |  348  |           |
| JTU000000480000000JOL | 2020 |  M03   |  404  |           |
| JTU000000480000000JOL | 2020 |  M02   |  521  |           |
| JTU000000480000000JOL | 2020 |  M01   |  519  |           |
| JTU000000480000000JOL | 2019 |  M12   |  429  |           |
| JTU000000480000000JOL | 2019 |  M11   |  510  |           |
| JTU000000480000000JOL | 2019 |  M10   |  562  |           |
| JTU000000480000000JOL | 2019 |  M09   |  563  |           |
| JTU000000480000000JOL | 2019 |  M08   |  619  |           |
| JTU000000480000000JOL | 2019 |  M07   |  639  |           |
| JTU000000480000000JOL | 2019 |  M06   |  566  |           |
| JTU000000480000000JOL | 2019 |  M05   |  584  |           |
| JTU000000480000000JOL | 2019 |  M04   |  665  |           |
| JTU000000480000000JOL | 2019 |  M03   |  583  |           |
| JTU000000480000000JOL | 2019 |  M02   |  581  |           |
| JTU000000480000000JOL | 2019 |  M01   |  604  |           |
| JTU000000480000000JOL | 2018 |  M12   |  541  |           |
| JTU000000480000000JOL | 2018 |  M11   |  583  |           |
| JTU000000480000000JOL | 2018 |  M10   |  599  |           |
| JTU000000480000000JOL | 2018 |  M09   |  563  |           |
| JTU000000480000000JOL | 2018 |  M08   |  540  |           |
| JTU000000480000000JOL | 2018 |  M07   |  649  |           |
| JTU000000480000000JOL | 2018 |  M06   |  568  |           |
| JTU000000480000000JOL | 2018 |  M05   |  488  |           |
| JTU000000480000000JOL | 2018 |  M04   |  520  |           |
| JTU000000480000000JOL | 2018 |  M03   |  484  |           |
| JTU000000480000000JOL | 2018 |  M02   |  470  |           |
| JTU000000480000000JOL | 2018 |  M01   |  482  |           |
+-----------------------+------+--------+-------+-----------+
