+-----------------------+------+--------+-------+-----------+
|       series id       | year | period | value | footnotes |
+-----------------------+------+--------+-------+-----------+
| JTU110099000000000HIL | 2022 |  M12   |   16  |           |
| JTU110099000000000HIL | 2022 |  M11   |   19  |           |
| JTU110099000000000HIL | 2022 |  M10   |   21  |           |
| JTU110099000000000HIL | 2022 |  M09   |   25  |           |
| JTU110099000000000HIL | 2022 |  M08   |   20  |           |
| JTU110099000000000HIL | 2022 |  M07   |   27  |           |
| JTU110099000000000HIL | 2022 |  M06   |   32  |           |
| JTU110099000000000HIL | 2022 |  M05   |   26  |           |
| JTU110099000000000HIL | 2022 |  M04   |   28  |           |
| JTU110099000000000HIL | 2022 |  M03   |   26  |           |
| JTU110099000000000HIL | 2022 |  M02   |   18  |           |
| JTU110099000000000HIL | 2022 |  M01   |   22  |           |
| JTU110099000000000HIL | 2021 |  M12   |   16  |           |
| JTU110099000000000HIL | 2021 |  M11   |   16  |           |
| JTU110099000000000HIL | 2021 |  M10   |   21  |           |
| JTU110099000000000HIL | 2021 |  M09   |   16  |           |
| JTU110099000000000HIL | 2021 |  M08   |   22  |           |
| JTU110099000000000HIL | 2021 |  M07   |   19  |           |
| JTU110099000000000HIL | 2021 |  M06   |   22  |           |
| JTU110099000000000HIL | 2021 |  M05   |   20  |           |
| JTU110099000000000HIL | 2021 |  M04   |   22  |           |
| JTU110099000000000HIL | 2021 |  M03   |   27  |           |
| JTU110099000000000HIL | 2021 |  M02   |   12  |           |
| JTU110099000000000HIL | 2021 |  M01   |   15  |           |
| JTU110099000000000HIL | 2020 |  M12   |   15  |           |
| JTU110099000000000HIL | 2020 |  M11   |   13  |           |
| JTU110099000000000HIL | 2020 |  M10   |   16  |           |
| JTU110099000000000HIL | 2020 |  M09   |   18  |           |
| JTU110099000000000HIL | 2020 |  M08   |   15  |           |
| JTU110099000000000HIL | 2020 |  M07   |   20  |           |
| JTU110099000000000HIL | 2020 |  M06   |   11  |           |
| JTU110099000000000HIL | 2020 |  M05   |   17  |           |
| JTU110099000000000HIL | 2020 |  M04   |   17  |           |
| JTU110099000000000HIL | 2020 |  M03   |   19  |           |
| JTU110099000000000HIL | 2020 |  M02   |   18  |           |
| JTU110099000000000HIL | 2020 |  M01   |   20  |           |
| JTU110099000000000HIL | 2019 |  M12   |   14  |           |
| JTU110099000000000HIL | 2019 |  M11   |   17  |           |
| JTU110099000000000HIL | 2019 |  M10   |   27  |           |
| JTU110099000000000HIL | 2019 |  M09   |   22  |           |
| JTU110099000000000HIL | 2019 |  M08   |   23  |           |
| JTU110099000000000HIL | 2019 |  M07   |   23  |           |
| JTU110099000000000HIL | 2019 |  M06   |   23  |           |
| JTU110099000000000HIL | 2019 |  M05   |   26  |           |
| JTU110099000000000HIL | 2019 |  M04   |   31  |           |
| JTU110099000000000HIL | 2019 |  M03   |   35  |           |
| JTU110099000000000HIL | 2019 |  M02   |   27  |           |
| JTU110099000000000HIL | 2019 |  M01   |   38  |           |
| JTU110099000000000HIL | 2018 |  M12   |   27  |           |
| JTU110099000000000HIL | 2018 |  M11   |   25  |           |
| JTU110099000000000HIL | 2018 |  M10   |   35  |           |
| JTU110099000000000HIL | 2018 |  M09   |   40  |           |
| JTU110099000000000HIL | 2018 |  M08   |   48  |           |
| JTU110099000000000HIL | 2018 |  M07   |   39  |           |
| JTU110099000000000HIL | 2018 |  M06   |   47  |           |
| JTU110099000000000HIL | 2018 |  M05   |   41  |           |
| JTU110099000000000HIL | 2018 |  M04   |   44  |           |
| JTU110099000000000HIL | 2018 |  M03   |   35  |           |
| JTU110099000000000HIL | 2018 |  M02   |   29  |           |
| JTU110099000000000HIL | 2018 |  M01   |   38  |           |
+-----------------------+------+--------+-------+-----------+
