+----------------------+------+--------+-------+-------------------------------------------------+
|      series id       | year | period | value |                    footnotes                    |
+----------------------+------+--------+-------+-------------------------------------------------+
| LAUST480000000000003 | 2022 |  M12   |  3.5  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M11   |  3.7  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M10   |  3.7  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M09   |  3.7  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M08   |  3.9  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M07   |  4.0  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M06   |  4.2  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M05   |  3.6  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M04   |  3.5  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M03   |  3.8  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M02   |  4.3  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2022 |  M01   |  4.7  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M12   |  4.1  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M11   |  4.4  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M10   |  4.7  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M09   |  5.0  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M08   |  5.5  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M07   |  5.8  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M06   |  6.4  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M05   |  5.7  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M04   |  5.9  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M03   |  6.4  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M02   |  6.8  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2021 |  M01   |  7.0  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2020 |  M12   |  6.7  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2020 |  M11   |  6.8  | Data were subject to revision on March 1, 2023. |
| LAUST480000000000003 | 2020 |  M10   |  6.7  | Data were subject to revision on March 1, 2023. |
