+----------------------+------+--------+---------+-------------------------------------------------+
|      series id       | year | period |  value  |                    footnotes                    |
+----------------------+------+--------+---------+-------------------------------------------------+
| LAUST480000000000004 | 2022 |  M12   |  513171 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M11   |  543279 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M10   |  542670 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M09   |  542893 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M08   |  579361 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M07   |  590021 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M06   |  614934 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M05   |  531312 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M04   |  516170 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M03   |  552714 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M02   |  634693 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2022 |  M01   |  675477 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M12   |  593734 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M11   |  642563 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M10   |  681293 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M09   |  720725 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M08   |  782940 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M07   |  835880 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M06   |  914433 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M05   |  803834 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M04   |  839556 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M03   |  912942 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M02   |  969548 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2021 |  M01   |  990842 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M12   |  952433 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M11   |  961178 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M10   |  947279 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M09   | 1086870 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M08   | 1108131 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M07   | 1355213 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M06   | 1449904 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M05   | 1611126 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M04   | 1636416 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M03   |  744023 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M02   |  489485 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2020 |  M01   |  516287 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M12   |  455745 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M11   |  470935 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M10   |  468296 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M09   |  481723 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M08   |  517132 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M07   |  540164 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M06   |  529851 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M05   |  433142 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M04   |  422016 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M03   |  485941 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M02   |  528380 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2019 |  M01   |  579167 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M12   |  505580 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M11   |  490536 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M10   |  489417 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M09   |  519059 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M08   |  544757 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M07   |  567750 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M06   |  588453 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M05   |  496664 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M04   |  507953 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M03   |  552856 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M02   |  578607 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000004 | 2018 |  M01   |  582369 | Data were subject to revision on March 1, 2023. |
+----------------------+------+--------+---------+-------------------------------------------------+
