+----------------------+------+--------+----------+-------------------------------------------------+
|      series id       | year | period |  value   |                    footnotes                    |
+----------------------+------+--------+----------+-------------------------------------------------+
| LAUST480000000000006 | 2022 |  M12   | 14773939 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M11   | 14765864 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M10   | 14731841 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M09   | 14685013 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M08   | 14674216 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M07   | 14678367 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M06   | 14673500 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M05   | 14616414 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M04   | 14592934 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M03   | 14633464 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M02   | 14613813 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2022 |  M01   | 14511328 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M12   | 14488125 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M11   | 14517223 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M10   | 14428177 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M09   | 14359112 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M08   | 14331255 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M07   | 14361689 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M06   | 14317810 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M05   | 14207615 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M04   | 14219519 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M03   | 14216389 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M02   | 14177756 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2021 |  M01   | 14107667 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M12   | 14162338 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M11   | 14170810 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M10   | 14130935 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M09   | 14045206 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M08   | 14002100 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M07   | 13951512 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M06   | 13891833 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M05   | 13678032 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M04   | 13310059 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M03   | 13904739 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M02   | 14159753 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2020 |  M01   | 14056658 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M12   | 14059524 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M11   | 14088019 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M10   | 14038822 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M09   | 13980363 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M08   | 13931556 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M07   | 13965128 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M06   | 13919461 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M05   | 13795993 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M04   | 13789246 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M03   | 13835343 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M02   | 13870130 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2019 |  M01   | 13787780 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M12   | 13809499 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M11   | 13807669 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M10   | 13757492 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M09   | 13695181 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M08   | 13668644 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M07   | 13774390 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M06   | 13762598 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M05   | 13670454 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M04   | 13688513 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M03   | 13684912 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M02   | 13698581 | Data were subject to revision on March 1, 2023. |
| LAUST480000000000006 | 2018 |  M01   | 13551579 | Data were subject to revision on March 1, 2023. |
+----------------------+------+--------+----------+-------------------------------------------------+
