A,B,State,SingleRate,E,SingleBrakets,MarriedRate,H,MarriedBrakets
Ala.,Ala.,Ala.,2.00%,>,$0 ,2.00%,>,$0 
,,Ala.,4.00%,>,$500 ,4.00%,>,"$1,000 "
,,Ala.,5.00%,>,"$3,000 ",5.00%,>,"$6,000 "
,,Ala.,,,,,,
Alaska,Alaska,Alaska,none,,,none,,
,,Alaska,,,,,,
Ariz.,Ariz.,Ariz.,2.55%,>,$0 ,2.59%,>,$0 
,,Ariz.,2.98%,>,"$28,653 ",3.34%,>,"$57,305 "
,,Ariz.,,,,,,
,,Ariz.,,,,,,
,,Ariz.,,,,,,
Ark.,Ark.,Ark.,2.00%,>,$0 ,2.00%,>,$0 
,,Ark.,4.00%,>,"$4,300 ",4.00%,>,"$4,300 "
,,Ark.,4.90%,>,"$8,500 ",4.90%,>,"$8,500 "
,,Ark.,,,,,,
Calif.,Calif.,Calif.,1.00%,>,$0 ,1.00%,>,$0 
,,Calif.,2.00%,>,"$10,099 ",2.00%,>,"$20,198 "
,,Calif.,4.00%,>,"$23,942 ",4.00%,>,"$47,884 "
,,Calif.,6.00%,>,"$37,788 ",6.00%,>,"$75,576 "
,,Calif.,8.00%,>,"$52,455 ",8.00%,>,"$104,910 "
,,Calif.,9.30%,>,"$66,295 ",9.30%,>,"$132,590 "
,,Calif.,10.30%,>,"$338,639 ",10.30%,>,"$677,278 "
,,Calif.,11.30%,>,"$406,364 ",11.30%,>,"$812,728 "
,,Calif.,12.30%,>,"$677,275 ",12.30%,>,"$1,000,000 "
,,Calif.,13.30%,>,"$1,000,000 ",13.30%,>,"$1,354,550 "
,,Calif.,,,,,,
Colo.,Colo.,Colo.,4.40%,>,$0 ,4.40%,>,$0 
,,Colo.,,,,,,
Conn.,Conn.,Conn.,3.00%,>,$0 ,3.00%,>,$0 
,,Conn.,5.00%,>,"$10,000 ",5.00%,>,"$20,000 "
,,Conn.,5.50%,>,"$50,000 ",5.50%,>,"$100,000 "
,,Conn.,6.00%,>,"$100,000 ",6.00%,>,"$200,000 "
,,Conn.,6.50%,>,"$200,000 ",6.50%,>,"$400,000 "
,,Conn.,6.90%,>,"$250,000 ",6.90%,>,"$500,000 "
,,Conn.,6.99%,>,"$500,000 ",6.99%,>,"$1,000,000 "
,,Conn.,,,,,,
Del.,Del.,Del.,2.20%,>,"$2,000 ",2.20%,>,"$2,000 "
,,Del.,3.90%,>,"$5,000 ",3.90%,>,"$5,000 "
,,Del.,4.80%,>,"$10,000 ",4.80%,>,"$10,000 "
,,Del.,5.20%,>,"$20,000 ",5.20%,>,"$20,000 "
,,Del.,5.55%,>,"$25,000 ",5.55%,>,"$25,000 "
,,Del.,6.60%,>,"$60,000 ",6.60%,>,"$60,000 "
,,Del.,,,,,,
Fla.,Fla.,Fla.,none,,,none,,
,,Fla.,,,,,,
Ga.,Ga.,Ga.,1.00%,>,$0 ,1.00%,>,$0 
,,Ga.,2.00%,>,$750 ,2.00%,>,"$1,000 "
,,Ga.,3.00%,>,"$2,250 ",3.00%,>,"$3,000 "
,,Ga.,4.00%,>,"$3,750 ",4.00%,>,"$5,000 "
,,Ga.,5.00%,>,"$5,250 ",5.00%,>,"$7,000 "
,,Ga.,5.75%,>,"$7,000 ",5.75%,>,"$10,000 "
,,Ga.,,,,,,
Hawaii,Hawaii,Hawaii,1.40%,>,$0 ,1.40%,>,$0 
,,Hawaii,3.20%,>,"$2,400 ",3.20%,>,"$4,800 "
,,Hawaii,5.50%,>,"$4,800 ",5.50%,>,"$9,600 "
,,Hawaii,6.40%,>,"$9,600 ",6.40%,>,"$19,200 "
,,Hawaii,6.80%,>,"$14,400 ",6.80%,>,"$28,800 "
,,Hawaii,7.20%,>,"$19,200 ",7.20%,>,"$38,400 "
,,Hawaii,7.60%,>,"$24,000 ",7.60%,>,"$48,000 "
,,Hawaii,7.90%,>,"$36,000 ",7.90%,>,"$72,000 "
,,Hawaii,8.25%,>,"$48,000 ",8.25%,>,"$96,000 "
,,Hawaii,9.00%,>,"$150,000 ",9.00%,>,"$300,000 "
,,Hawaii,10.00%,>,"$175,000 ",10.00%,>,"$350,000 "
,,Hawaii,11.00%,>,"$200,000 ",11.00%,>,"$400,000 "
,,Hawaii,,,,,,
Idaho,Idaho,Idaho,1.00%,>,$0 ,1.00%,>,$0 
,,Idaho,3.00%,>,"$1,662 ",3.00%,>,"$3,324 "
,,Idaho,4.50%,>,"$4,987 ",4.50%,>,"$9,974 "
,,Idaho,6.00%,>,"$8,311 ",6.00%,>,"$16,622 "
,,Idaho,,,,,,
Ill.,Ill.,Ill.,4.95%,>,$0 ,4.95%,>,$0 
,,Ill.,,,,,,
Ind.,Ind.,Ind.,3.23%,>,$0 ,3.23%,>,$0 
,,Ind.,,,,,,
,,Ind.,,,,,,
Iowa,Iowa,Iowa,0.33%,>,$0 ,0.33%,>,$0 
,,Iowa,0.67%,>,"$1,743 ",0.67%,>,"$1,743 "
,,Iowa,2.25%,>,"$3,486 ",2.25%,>,"$3,486 "
,,Iowa,4.14%,>,"$6,972 ",4.14%,>,"$6,972 "
,,Iowa,5.63%,>,"$15,687 ",5.63%,>,"$15,687 "
,,Iowa,5.96%,>,"$26,145 ",5.96%,>,"$26,145 "
,,Iowa,6.25%,>,"$34,860 ",6.25%,>,"$34,860 "
